method;model;instance;sat;time;nodes;propagations;memory
CP;base_model;8x8;true;0.001;5;179;0.0
CP;base_model;9x9;true;0.001;6;287;0.0
CP;base_model;10x10;true;0.0;6;405;0.0
CP;base_model;11x11;true;0.0;10;705;0.0
CP;base_model;12x12;true;0.001;14;1328;0.0
CP;base_model;13x13;true;0.002;15;1424;0.0
CP;base_model;14x14;true;0.001;11;985;0.0
CP;base_model;15x15;true;0.001;13;1118;0.0
CP;base_model;16x16;true;0.001;12;1272;0.0
CP;base_model;17x17;true;0.004;48;5825;0.0
CP;base_model;18x18;true;0.021;258;49511;0.0
CP;base_model;19x19;true;0.002;17;2481;0.0
CP;base_model;20x20;true;0.023;247;48836;0.0
CP;base_model;21x21;true;0.002;24;3189;0.0
CP;base_model;22x22;true;0.175;1658;343900;0.0
CP;base_model;23x23;true;0.27;2252;604184;0.0
CP;base_model;24x24;true;0.003;24;4087;0.0
CP;base_model;25x25;true;0.205;1717;358523;0.0
CP;base_model;26x26;true;0.293;2644;697160;0.0
CP;base_model;27x27;true;0.006;40;9131;0.0
CP;base_model;28x28;true;0.038;348;87336;0.0
CP;base_model;29x29;true;0.039;310;81966;0.0
CP;base_model;30x30;true;0.007;58;12387;0.0
CP;base_model;31x31;true;0.005;28;5009;0.0
CP;base_model;32x32;true;0.073;497;109458;0.0
CP;base_model;33x33;true;12.058;43163;13179446;0.0
CP;base_model;34x34;true;0.01;103;17543;0.0
CP;base_model;35x35;true;0.009;37;8248;0.0
CP;base_model;36x36;true;0.007;35;8020;0.0
CP;base_model;37x37;true;20.295;61331;20748067;0.0
CP;base_model;38x38;true;0.141;1165;306900;0.0
CP;base_model;39x39;true;0.061;298;108612;0.0
CP;base_model;40x40;true;0.009;31;6054;0.0
CP;base_model;rotation_test;false;0.0;1;35;0.0
CP;sym_model;8x8;true;0.001;3;150;0.0
CP;sym_model;9x9;true;0.001;5;357;0.0
CP;sym_model;10x10;true;0.003;5;461;0.0
CP;sym_model;11x11;true;0.001;10;1265;0.0
CP;sym_model;12x12;true;0.007;45;8116;0.0
CP;sym_model;13x13;true;0.004;11;2159;0.0
CP;sym_model;14x14;true;0.001;19;2599;0.0
CP;sym_model;15x15;true;0.011;142;27081;0.0
CP;sym_model;16x16;true;0.002;9;1814;0.0
CP;sym_model;17x17;true;0.011;80;24551;0.0
CP;sym_model;18x18;true;0.003;26;5218;0.0
CP;sym_model;19x19;true;0.039;316;91564;0.0
CP;sym_model;20x20;true;0.099;536;123172;0.0
CP;sym_model;21x21;true;0.192;900;304328;0.0
CP;sym_model;22x22;true;0.125;544;190132;0.0
CP;sym_model;23x23;true;6.933;19260;9171901;0.0
CP;sym_model;24x24;true;0.371;1488;638669;0.0
CP;sym_model;25x25;true;3.943;12490;4788188;0.0
CP;sym_model;26x26;true;1.367;3595;2087114;0.0
CP;sym_model;27x27;true;2.178;4784;3049562;0.0
CP;sym_model;28x28;true;16.155;43295;23048023;0.0
CP;sym_model;29x29;true;5.314;15069;11628851;0.0
CP;sym_model;30x30;true;0.046;287;100741;0.0
CP;sym_model;31x31;true;0.135;916;301542;0.0
CP;sym_model;32x32;true;0.148;387;267579;0.0
CP;sym_model;33x33;true;0.35;1580;770610;0.0
CP;sym_model;34x34;true;0.471;1701;827950;0.0
CP;sym_model;35x35;true;0.41;1752;935117;0.0
CP;sym_model;36x36;true;4.8;14412;8047884;0.0
CP;sym_model;37x37;true;39.646;93562;45084879;0.0
CP;sym_model;38x38;true;1.475;6150;2711326;0.0
CP;sym_model;39x39;true;4.727;16581;10166321;0.0
CP;sym_model;40x40;true;2.233;7408;3362652;0.0
CP;sym_model;rotation_test;false;0.0;1;2;0.0
CP;rot_model;8x8;true;0.001;9;658;0.0
CP;rot_model;9x9;true;0.001;10;1210;0.0
CP;rot_model;10x10;true;0.001;12;1528;0.0
CP;rot_model;11x11;true;0.004;36;6827;0.0
CP;rot_model;12x12;true;0.002;27;4698;0.0
CP;rot_model;13x13;true;0.003;31;5859;0.0
CP;rot_model;14x14;true;0.006;43;8206;0.0
CP;rot_model;15x15;true;0.007;37;11236;0.0
CP;rot_model;16x16;true;0.003;23;6360;0.0
CP;rot_model;17x17;true;0.004;34;10908;0.0
CP;rot_model;18x18;true;0.219;1765;595481;0.0
CP;rot_model;19x19;true;0.036;323;110395;0.0
CP;rot_model;20x20;true;0.034;317;120480;0.0
CP;rot_model;21x21;true;0.022;257;90569;0.0
CP;rot_model;22x22;true;0.013;68;55549;0.0
CP;rot_model;23x23;true;5.82;18963;9928170;0.0
CP;rot_model;24x24;true;1.671;6876;3466041;0.0
CP;rot_model;25x25;true;0.321;1594;940941;0.0
CP;rot_model;26x26;true;4.605;10965;5739120;0.0
CP;rot_model;27x27;true;8.806;21462;14169523;0.0
CP;rot_model;28x28;true;9.925;23327;16753958;0.0
CP;rot_model;29x29;true;6.659;17029;11653121;0.0
CP;rot_model;30x30;true;0.481;1402;923532;0.0
CP;rot_model;31x31;true;2.615;7287;5090515;0.0
CP;rot_model;32x32;true;81.626;124826;106149654;0.0
CP;rot_model;33x33;true;0.14;531;373851;0.0
CP;rot_model;34x34;true;16.122;33856;25006238;0.0
CP;rot_model;35x35;true;8.576;16524;11766051;0.0
CP;rot_model;36x36;true;99.79;138777;123080912;0.0
CP;rot_model;37x37;true;31.674;58804;42774026;0.0
CP;rot_model;38x38;true;0.683;1636;1383358;0.0
CP;rot_model;39x39;true;148.92;201895;180321315;0.0
CP;rot_model;40x40;true;2.876;5296;3632636;0.0
CP;rot_model;rotation_test;true;0.0;8;422;0.0
CP;dup_sym_model;8x8;true;0.001;3;150;0.0
CP;dup_sym_model;9x9;true;0.001;5;357;0.0
CP;dup_sym_model;10x10;true;0.001;5;461;0.0
CP;dup_sym_model;11x11;true;0.006;10;1265;0.0
CP;dup_sym_model;12x12;true;0.004;45;8116;0.0
CP;dup_sym_model;13x13;true;0.001;11;2159;0.0
CP;dup_sym_model;14x14;true;0.011;19;2599;0.0
CP;dup_sym_model;15x15;true;0.02;142;27081;0.0
CP;dup_sym_model;16x16;true;0.002;9;1814;0.0
CP;dup_sym_model;17x17;true;0.01;80;24551;0.0
CP;dup_sym_model;18x18;true;0.005;26;5218;0.0
CP;dup_sym_model;19x19;true;0.043;316;91564;0.0
CP;dup_sym_model;20x20;true;0.057;536;123172;0.0
CP;dup_sym_model;21x21;true;0.338;900;304328;0.0
CP;dup_sym_model;22x22;true;0.186;544;190132;0.0
CP;dup_sym_model;23x23;true;7.614;19260;9171901;0.0
CP;dup_sym_model;24x24;true;0.516;1488;638669;0.0
CP;dup_sym_model;25x25;true;4.865;12490;4788188;0.0
CP;dup_sym_model;26x26;true;1.409;3595;2087114;0.0
CP;dup_sym_model;27x27;true;2.361;4784;3049562;0.0
CP;dup_sym_model;28x28;true;5.475;12410;6058207;0.0
CP;dup_sym_model;29x29;true;9.348;19882;12918825;0.0
